比赛,场,出手,出手_2,出手_4,得分,罚球,犯规,盖帽,果,后场,篮板,列1,命中,命中_1,命中_3,前场,抢断,球队,三分,失误,时间,投篮,助攻,TeamAB
国王109-144雄鹿,主,95,56,33,144,0.909,20,7,胜,46,56,9,46,22,30,10,6,密尔沃基雄鹿,0.393,12,2018/11/4,0.484,30,MIL
国王111-110步行者,客,82,24,18,110,0.778,26,5,负,36,42,23,43,10,14,6,11,印第安纳步行者,0.417,25,2018/12/1,0.524,32,IND
国王111-115太阳,主,88,25,19,115,0.789,25,7,胜,28,37,42,45,10,15,9,18,菲尼克斯太阳,0.4,19,2019/1/8,0.511,31,PHO
国王111-95魔术,客,87,37,24,95,0.75,15,1,负,41,46,40,32,13,18,5,8,奥兰多魔术,0.351,16,2019/1/7,0.368,15,ORL
国王112-102活塞,客,82,38,24,102,0.875,21,3,负,28,37,40,35,11,21,9,13,底特律活塞,0.289,19,2019/1/10,0.427,22,DET
国王112-103太阳,客,88,34,26,103,0.846,21,4,负,33,43,74,36,9,22,10,10,菲尼克斯太阳,0.265,14,2019/3/23,0.409,25,PHO
国王112-126掘金,主,99,30,15,126,0.867,22,3,胜,34,49,4,51,11,13,15,11,丹佛掘金,0.367,12,2018/10/23,0.515,31,DEN
国王112-132火箭,主,81,47,24,132,0.833,20,10,胜,35,41,15,46,20,20,6,9,休斯顿火箭,0.426,22,2018/11/17,0.568,27,HOU
国王112-133爵士,客,92,30,33,133,0.758,26,5,胜,36,49,20,49,10,25,13,11,犹他爵士,0.333,18,2018/11/25,0.533,30,UTA
国王113-106马刺,主,94,27,14,106,0.714,22,3,负,27,42,77,44,8,10,15,7,圣安东尼奥马刺,0.296,11,2019/3/31,0.468,24,SAS
国王113-117掘金,客,89,39,30,117,0.7,20,3,胜,38,54,36,41,14,21,16,3,丹佛掘金,0.359,14,2019/1/3,0.461,24,DEN
国王113-132雷霆,客,102,32,27,132,0.63,24,6,胜,48,66,30,51,13,17,18,8,俄克拉荷马雷霆,0.406,17,2018/12/19,0.5,27,OKC
