2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Age,ATL,Guaranteed,Player,Signed Using
"$1,645,357","","","","","",28,WAS,"$600,000",Jordan McRae,""
"$1,645,357","$1,783,557","","","","",26,UTA,"",Georges Niang,""
"$1,676,735","","","","","",25,CHO,"$1,676,735",Willy Hernangómez,Cap Space
"$1,678,854","","","","","",22,GSW,"",Marquese Chriss,Minimum Salary
"$1,678,854","","","","","",26,MIN,"$1,678,854",Treveon Graham,Minimum Salary
"$1,678,854","$1,824,003","","","","",26,BRK,"$1,678,854",David Nwaba,""
"$1,678,854","$1,824,003","","","","",22,MIL,"$600,000",Dragan Bender,Minimum Salary
"$1,678,854","$1,824,003","","","","",23,PHO,"$1,678,854",Cheick Diallo,Minimum Salary
"$1,698,450","$1,766,550","$1,845,000","","","",23,PHI,"$1,698,450",Jonah Bolden,""
"$1,699,236","$1,780,152","$1,861,068","","","",21,BRK,"$3,479,388",Rodions Kurucs,""
"$1,702,486","","","","","",23,NOP,"$54,323",Jahlil Okafor,Minimum Salary
"$1,723,050","","","","","",26,MIL,"$1,723,050",Pat Connaughton,""
"$1,737,145","","","","","",26,IND,"$1,737,145",JaKarr Sampson,Minimum Salary
"$1,737,145","","","","","",27,PHI,"$1,737,145",Raul Neto,Minimum Salary
"$1,737,145","","","","","",23,UTA,"$1,737,145",Emmanuel Mudiay,Minimum Salary
"$1,737,145","$1,882,867","","","","",24,POR,"$3,620,012",Mario Hezonja,Minimum Salary
"$1,845,301","","","","","",24,MEM,"$300,000",Bruno Caboclo,""
"$1,865,547","$1,865,547","$1,865,547","","","",31,MIL,"$5,596,641",Larry Sanders,""
"$1,882,867","","","","","",29,DET,"$1,882,867",Tim Frazier,""
"$1,882,867","","","","","",28,MIN,"$1,882,867",Shabazz Napier,Cap Space
"$1,882,867","$2,071,978","","","","",25,GSW,"$1,882,867",Glenn Robinson,""
"$1,882,867","$2,071,978","","","","",29,PHI,"$1,882,867",James Ennis,""
"$1,882,867","$2,130,023","","","","",26,HOU,"$500,000",Ben McLemore,""
"$1,897,800","$1,988,280","$3,588,845","","","",22,GSW,"$3,886,080",Omari Spellman,1st Round Pick
"$1,911,600","$2,002,800","$3,615,054","","","",20,BRK,"$3,914,400",Džanan Musa,1st Round Pick
"$1,913,345","$1,913,345","","","","",37,POR,"$3,826,690",Anderson Varejão,""
"$1,925,880","$2,017,320","$3,641,263","","","",22,GSW,"$3,943,200",Jacob Evans,1st Round Pick
"$1,934,160","$3,491,159","","","","",24,NOP,"$5,425,319",Josh Hart,1st Round Pick
"$1,937,520","$2,029,920","$3,661,976","","","",22,BOS,"$3,967,440",Robert Williams,1st Round Pick
"$1,948,080","$3,516,284","","","","",25,SAS,"$5,464,364",Derrick White,1st Round Pick
"$1,950,600","$2,048,040","$2,145,720","$3,873,025","","",20,SAS,"$3,998,640",Keldon Johnson,1st Round Pick
"$1,962,360","$3,542,060","","","","",21,UTA,"$5,504,420",Tony Bradley,1st Round Pick
"$1,964,760","$2,063,280","$2,161,440","$3,901,399","","",20,GSW,"$4,028,040",Jordan Poole,1st Round Pick
"$1,974,600","$3,562,178","","","","",24,LAL,"$5,536,778",Kyle Kuzma,1st Round Pick
"$1,977,000","$2,075,880","$2,174,880","$3,923,484","","",22,LAC,"$4,052,880",Mfiondu Kabengele,1st Round Pick
"$1,995,120","$2,090,040","$3,768,342","","","",22,LAC,"$4,085,160",Landry Shamet,1st Round Pick
"$10,000,000","$10,000,000","$10,000,000","","","",28,CHI,"$25,000,000",Tomáš Satoranský,""
"$10,100,000","$10,800,000","$11,600,000","","","",26,PHI,"$20,900,000",Josh Richardson,Minimum Salary
"$10,116,576","$10,865,952","$11,615,328","","","",26,TOR,"$20,982,528",Norman Powell,Cap Space
"$10,259,375","$10,185,185","$11,000,000","$11,814,815","","",28,DAL,"$43,259,375",Dwight Powell,Cap Space
"$10,500,000","$10,500,000","$10,500,000","","","",27,IND,"$31,500,000",Jeremy Lamb,""
"$10,600,000","$11,400,000","$12,300,000","","","",26,BRK,"$22,000,000",Spencer Dinwiddie,Minimum Salary
"$10,740,741","","","","","",28,OKC,"$10,740,741",Andre Roberson,Bird Rights
"$10,810,000","$11,750,000","$12,690,000","","","",26,IND,"$35,250,000",T.J. Warren,1st Round Pick
"$100,000","","","","","",23,ATL,"$100,000",Jaylen Adams,""
"$100,000","","","","","",23,MIA,"$100,000",Yante Maten,""
"$11,286,515","","","","","",27,MIA,"$11,286,515",Meyers Leonard,Cap Space
"$11,301,219","$12,138,345","$12,975,471","","","",28,MIN,"$36,415,035",Robert Covington,Cap Space
"$11,392,857","$12,178,571","","","","",28,DET,"$11,392,857",Tony Snell,Cap Space
"$11,511,234","","","","","",26,LAC,"$11,511,234",Maurice Harkless,Cap Space
"$11,667,885","$12,198,243","","","","",28,MIA,"$11,667,885",Kelly Olynyk,Cap Space
"$11,954,546","$10,863,637","$14,000,000","","","",32,UTA,"$36,818,183",Joe Ingles,Bird Rights
"$12,000,000","$12,000,000","$12,000,000","","","",25,POR,"$28,000,000",Jusuf Nurkić,""
"$12,000,000","$12,600,000","$12,600,000","","","",28,SAC,"$24,600,000",Cory Joseph,""
"$12,093,024","$12,697,675","$13,302,325","$13,906,976","","",31,MIL,"$52,000,000",Brook Lopez,""
"$12,100,000","$12,650,000","","","","",27,MIA,"$24,750,000",Dion Waiters,Cap Space
"$12,200,000","$12,800,000","","","","",34,SAC,"$14,000,000",Trevor Ariza,""
"$12,345,679","$13,333,333","$14,320,988","","","",31,LAC,"$40,000,000",Patrick Beverley,""
"$12,428,571","$13,285,714","","","","",31,SAS,"$25,714,285",Patty Mills,Bird Rights
"$12,500,000","","","","","",31,MEM,"$12,500,000",Miles Plumlee,""
"$12,500,000","$13,500,000","$12,500,000","$11,500,000","","",28,ORL,"$50,000,000",Terrence Ross,""
"$12,553,471","$13,446,428","$14,339,285","","","",25,BOS,"$40,339,184",Marcus Smart,""
