出场,出手,出手_2,出手_4,得分,罚球,盖帽,犯规,后场,篮板,命中,命中_1,命中_3,前场,抢断,球员,三分,时间,首发,投篮,失误,助攻,ATL
21,9.2,4.6,1.7,10.8,86.1%,0.5,2.7,5.2,7.0,3.9,1.6,1.5,1.8,0.9,达里奥-萨里奇,34.4%,27.9,21,42.0%,1.4,2.0,PHO
18,9.3,4.4,2.2,11.1,69.2%,0.4,1.8,3.0,3.4,4.0,1.6,1.5,0.4,0.3,凯尔-库兹马,35.0%,22.7,1,43.1%,1.8,0.8,LAL
9,9.3,4.4,2.2,11.2,75.0%,0.3,2.2,2.6,3.4,3.9,1.8,1.7,0.9,1.0,奥托-波特,40.0%,25.0,9,41.7%,0.8,1.6,CHI
14,9.4,3.9,0.7,10.5,60.0%,0.6,2.2,2.1,2.9,4.4,1.4,0.4,0.9,0.9,杰克-莱曼,35.2%,26.4,2,46.2%,1.3,0.8,MIN
19,9.4,5.7,2.2,12.6,88.1%,1.0,2.9,4.6,5.4,4.3,2.2,1.9,0.7,1.3,罗波特-考文顿,37.6%,27.4,19,45.5%,1.5,1.2,MIN
19,9.5,2.5,3.7,13.7,87.1%,0.8,2.8,3.9,5.9,4.6,1.2,3.2,2.1,0.9,保罗-米尔萨普,47.9%,26.2,19,48.6%,1.2,1.4,DEN
13,9.6,4.1,2.4,12.2,74.2%,2.2,2.6,4.4,5.9,4.4,1.6,1.8,1.5,0.5,迈尔斯-特纳,39.6%,30.7,13,45.6%,1.6,1.0,IND
20,9.7,4.0,2.2,9.3,43.2%,0.6,2.1,2.4,3.5,3.6,1.1,1.0,1.1,0.9,贾勒特-卡尔弗,27.8%,24.1,10,37.3%,1.4,2.5,MIN
19,9.7,4.1,1.5,10.8,75.9%,0.3,2.1,2.5,3.1,4.1,1.5,1.2,0.5,1.3,加里-哈里斯,36.4%,31.7,19,42.2%,0.9,1.7,DEN
13,9.7,4.4,2.6,14.7,70.6%,0.7,3.9,4.2,5.8,5.5,1.9,1.8,1.5,0.3,阿隆-贝恩斯,43.9%,24.1,12,56.3%,1.1,2.9,PHO
23,9.8,5.1,2.1,8.2,85.4%,0.3,1.9,2.1,2.3,2.6,1.3,1.8,0.2,0.6,乔丹-普尔,24.8%,24.8,9,26.1%,1.2,2.1,GSW
21,90.0,40.5,25.9,118.0,77.7%,4.6,19.5,36.8,47.8,41.6,14.6,20.1,11.0,6.6,全队数据,36.1%,6,15,46.2%,12.4,24.3,DAL
21,90.2,35.6,25.7,116.5,78.3%,6.4,19.6,36.2,46.0,41.7,13.0,20.1,9.8,7.8,对手数据,36.7%,6,15,46.2%,14.5,25.1,MEM
22,90.3,32.7,26.5,115.5,77.5%,5.5,23.3,37.4,49.1,41.6,11.8,20.5,11.7,7.5,全队数据,36.0%,6,16,46.0%,15.5,23.5,LAC
20,90.4,35.1,23.6,110.8,80.1%,5.8,21.3,35.5,46.5,39.9,12.2,18.9,11.0,9.0,全队数据,34.8%,5,15,44.1%,12.4,23.6,BOS
21,90.5,26.5,17.8,109.9,81.8%,5.0,21.0,34.7,44.7,42.8,9.7,14.5,10.0,6.9,全队数据,36.7%,7,14,47.3%,13.4,24.8,IND
19,90.5,30.0,20.4,107.3,73.6%,5.0,20.9,36.0,47.0,40.8,10.7,15.0,11.0,8.0,全队数据,35.8%,5,14,45.1%,13.3,26.5,DEN
22,90.6,25.9,23.4,112.0,78.2%,5.7,19.2,35.2,45.7,42.3,9.1,18.3,10.5,6.4,全队数据,35.3%,14,8,46.6%,13.3,24.5,SAS
22,90.7,34.9,26.1,119.7,80.1%,4.7,20.5,36.3,46.5,42.9,13.1,20.9,10.2,7.8,对手数据,37.5%,6,16,47.2%,15.2,25.4,NOH
22,90.8,32.6,22.5,116.0,78.6%,5.0,20.8,35.9,45.2,42.9,12.5,17.7,9.3,7.1,对手数据,38.4%,8,14,47.2%,12.7,26.0,SAS
21,90.8,37.6,24.0,113.0,74.2%,5.2,22.1,36.4,47.1,41.0,13.2,17.8,10.7,6.9,全队数据,35.2%,10,11,45.2%,15.3,23.9,BKN
22,91.2,40.0,26.2,121.1,71.9%,6.2,20.4,41.7,51.8,44.1,14.1,18.8,10.1,7.4,全队数据,35.3%,3,19,48.4%,14.5,25.6,MIL
21,91.5,46.4,29.6,120.8,79.2%,4.6,22.7,36.5,48.1,40.7,16.0,23.4,11.6,8.8,全队数据,34.4%,7,14,44.5%,15.3,22.0,HOU
21,91.6,33.9,21.0,109.4,75.0%,3.9,22.6,34.5,45.8,41.0,11.8,15.7,11.3,7.2,对手数据,34.7%,15,6,44.7%,12.5,23.1,DAL
22,91.8,33.4,21.7,113.5,81.4%,6.2,23.3,36.5,46.6,41.7,12.3,17.7,10.1,5.9,全队数据,36.9%,13,9,45.5%,13.5,20.3,POR
21,92.0,31.3,19.5,108.5,77.6%,5.3,22.4,35.2,45.6,41.3,10.8,15.1,10.4,7.7,全队数据,34.6%,15,6,44.9%,15.4,26.5,MEM
22,92.0,33.9,27.9,114.8,78.5%,5.5,20.1,36.5,48.3,40.6,11.7,21.9,11.8,7.7,对手数据,34.5%,9,13,44.2%,13.2,23.5,POR
22,92.2,39.3,21.6,114.5,73.7%,5.1,23.1,34.2,44.8,41.8,14.9,16.0,10.5,8.1,全队数据,37.9%,16,6,45.4%,15.9,24.9,NOH
20,92.2,39.3,26.7,113.7,76.0%,6.6,21.9,37.2,48.4,40.3,13.0,20.3,11.2,8.2,全队数据,33.0%,10,10,43.7%,15.0,23.7,MIN
21,92.3,38.7,22.2,105.7,75.3%,5.9,20.8,35.8,49.1,37.9,13.1,16.7,13.3,6.9,对手数据,34.0%,15,6,41.1%,15.7,24.9,TOR
21,92.7,36.7,23.4,115.2,75.0%,4.5,23.2,35.8,46.7,42.3,13.0,17.6,11.0,8.5,对手数据,35.3%,14,7,45.7%,15.7,26.1,HOU
20,93.7,32.4,24.5,114.8,76.9%,5.4,22.8,36.7,47.8,42.1,11.8,18.9,11.2,7.5,对手数据,36.5%,10,10,44.9%,14.7,24.3,MIN
21,93.9,32.8,23.8,113.9,77.8%,5.0,21.6,35.0,46.1,41.8,11.7,18.5,11.2,8.2,对手数据,35.8%,11,10,44.5%,13.4,21.8,BKN
22,93.9,38.5,21.1,108.2,75.0%,4.1,22.5,36.3,46.1,39.0,14.3,15.8,9.9,6.3,对手数据,37.1%,19,3,41.6%,14.1,23.9,MIL
