TeamAB,时间,场,比赛,列1,果
BKN,2018/2/7,客,活塞115-106篮网,56,负
BKN,2018/3/1,客,国王116-111篮网,63,负
BKN,2018/3/11,主,76人120-97篮网,67,负
BKN,2018/3/13,主,猛龙116-102篮网,68,负
BKN,2018/3/16,客,76人120-116篮网,69,负
BKN,2018/3/17,主,独行侠106-114篮网,70,胜
BKN,2018/3/19,主,灰熊115-118篮网,71,胜
BKN,2018/3/21,主,黄蜂111-105篮网,72,负
BKN,2018/3/23,客,猛龙116-112篮网,73,负
BKN,2018/3/25,主,骑士121-114篮网,74,负
BKN,2018/3/28,客,魔术104-111篮网,75,胜
BKN,2018/3/31,客,热火109-110篮网,76,胜
BKN,2018/3/4,客,快船123-120篮网,64,负
BKN,2018/3/6,客,勇士114-101篮网,65,负
BKN,2018/3/8,客,黄蜂111-125篮网,66,胜
BKN,2018/4/1,主,活塞108-96篮网,77,负
BKN,2018/4/11,客,凯尔特110-97篮网,82,负
BKN,2018/4/3,客,76人121-95篮网,78,负
BKN,2018/4/5,客,雄鹿111-119篮网,79,胜
BKN,2018/4/7,客,公牛96-124篮网,80,胜
BKN,2018/4/9,主,公牛105-114篮网,81,胜
BOS,2017/10/17,客,骑士102-99凯尔特,1,负
BOS,2017/10/18,主,雄鹿108-100凯尔特,2,负
BOS,2017/10/20,客,76人92-102凯尔特,3,胜
BOS,2017/10/24,主,尼克斯89-110凯尔特,4,胜
BOS,2017/10/26,客,雄鹿89-96凯尔特,5,胜
BOS,2017/10/28,客,热火90-96凯尔特,6,胜
BOS,2017/10/30,主,马刺94-108凯尔特,7,胜
BOS,2017/11/1,主,国王86-113凯尔特,8,胜
BOS,2017/11/10,主,黄蜂87-90凯尔特,13,胜
BOS,2017/11/12,主,猛龙94-95凯尔特,14,胜
BOS,2017/11/14,客,篮网102-109凯尔特,15,胜
BOS,2017/11/16,主,勇士88-92凯尔特,16,胜
BOS,2017/11/18,客,老鹰99-110凯尔特,17,胜
BOS,2017/11/20,客,独行侠102-110凯尔特,18,胜
BOS,2017/11/22,客,热火104-98凯尔特,19,负
BOS,2017/11/24,主,魔术103-118凯尔特,20,胜
BOS,2017/11/25,客,步行者98-108凯尔特,21,胜
BOS,2017/11/27,主,活塞118-108凯尔特,22,负
BOS,2017/11/3,客,雷霆94-101凯尔特,9,胜
BOS,2017/11/30,主,76人97-108凯尔特,23,胜
BOS,2017/11/5,客,魔术88-104凯尔特,10,胜
BOS,2017/11/6,客,老鹰107-110凯尔特,11,胜
BOS,2017/11/8,主,湖人96-107凯尔特,12,胜
BOS,2017/12/10,客,活塞81-91凯尔特,28,胜
BOS,2017/12/11,客,公牛108-85凯尔特,29,负
BOS,2017/12/13,主,掘金118-124凯尔特,30,胜
BOS,2017/12/15,主,爵士107-95凯尔特,31,负
BOS,2017/12/16,客,灰熊93-102凯尔特,32,胜
BOS,2017/12/18,客,步行者111-112凯尔特,33,胜
BOS,2017/12/2,主,太阳111-116凯尔特,24,胜
BOS,2017/12/20,主,热火90-89凯尔特,34,负
BOS,2017/12/21,客,尼克斯102-93凯尔特,35,负
BOS,2017/12/23,主,公牛92-117凯尔特,36,胜
BOS,2017/12/25,主,奇才111-103凯尔特,37,负
BOS,2017/12/27,客,黄蜂91-102凯尔特,38,胜
BOS,2017/12/28,主,火箭98-99凯尔特,39,胜
BOS,2017/12/31,主,篮网105-108凯尔特,40,胜
BOS,2017/12/4,主,雄鹿100-111凯尔特,25,胜
BOS,2017/12/6,主,独行侠90-97凯尔特,26,胜
BOS,2017/12/8,客,马刺105-102凯尔特,27,负
BOS,2018/1/11,客,76人103-114凯尔特,44,胜
BOS,2018/1/16,主,鹈鹕116-113凯尔特,45,负
BOS,2018/1/18,主,76人89-80凯尔特,46,负
BOS,2018/1/21,主,魔术103-95凯尔特,47,负
BOS,2018/1/23,客,湖人108-107凯尔特,48,负
BOS,2018/1/24,客,快船102-113凯尔特,49,胜
BOS,2018/1/27,客,勇士109-105凯尔特,50,负
BOS,2018/1/29,客,掘金110-111凯尔特,51,胜
BOS,2018/1/3,主,骑士88-102凯尔特,41,胜
BOS,2018/1/31,主,尼克斯73-103凯尔特,52,胜
BOS,2018/1/5,主,森林狼84-91凯尔特,42,胜
BOS,2018/1/6,客,篮网85-87凯尔特,43,胜
BOS,2018/2/11,主,骑士121-99凯尔特,58,负
BOS,2018/2/14,主,快船129-119凯尔特,59,负
BOS,2018/2/2,主,老鹰110-119凯尔特,53,胜
BOS,2018/2/23,客,活塞98-110凯尔特,60,胜
BOS,2018/2/24,客,尼克斯112-121凯尔特,61,胜
BOS,2018/2/26,主,灰熊98-109凯尔特,62,胜
BOS,2018/2/28,主,黄蜂106-134凯尔特,63,胜
BOS,2018/2/4,主,开拓者96-97凯尔特,54,胜
BOS,2018/2/6,客,猛龙111-91凯尔特,55,负
BOS,2018/2/8,客,奇才104-110凯尔特,56,胜
BOS,2018/2/9,主,步行者97-91凯尔特,57,负
BOS,2018/3/11,主,步行者99-97凯尔特,67,负
BOS,2018/3/14,主,奇才125-124凯尔特,68,负
BOS,2018/3/16,客,魔术83-92凯尔特,69,胜
BOS,2018/3/18,客,鹈鹕108-89凯尔特,70,负
BOS,2018/3/20,主,雷霆99-100凯尔特,71,胜
BOS,2018/3/23,客,开拓者100-105凯尔特,72,胜
BOS,2018/3/25,客,国王93-104凯尔特,73,胜
BOS,2018/3/26,客,太阳94-102凯尔特,74,胜
BOS,2018/3/28,客,爵士94-97凯尔特,75,胜
BOS,2018/3/3,客,火箭123-120凯尔特,64,负
BOS,2018/3/31,主,猛龙99-110凯尔特,76,胜
BOS,2018/3/5,客,公牛89-105凯尔特,65,胜
BOS,2018/3/8,客,森林狼109-117凯尔特,66,胜
